candidate_id,job_title,job_description,required_education,required_skills,required_experience,candidate_education,candidate_skills,candidate_experience,hired
22,Graphic Design Intern,Backend development internship focusing on Node.js and databases. At least 1 year experience required.,High School,"['Databases', 'Networking']",1.0,Diploma,"['Financial Modeling', 'Databases', 'SQL', 'Node.js']",5.0,0
23,Software Engineering Intern,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",Bachelor’s,"['Node.js', 'Security Protocols', 'SQL', 'React']",2.0,High School,"['ML', 'Problem-Solving', 'Photoshop', 'Databases', 'Digital Marketing']",3.0,0
24,Data Science Intern,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",Bachelor’s,"['Node.js', 'Photoshop', 'Problem-Solving', 'Adobe Illustrator', 'ML']",0.0,Diploma,"['Digital Marketing', 'Python', 'Java']",0.0,0
25,Marketing Intern,"Looking for a data science intern skilled in Python, ML, and SQL. Preferred: Bachelor's degree. No experience required.",High School,"['Databases', 'Adobe Illustrator', 'Node.js', 'Writing', 'Excel']",1.0,Associate’s,"['Photoshop', 'Financial Modeling', 'ML', 'Problem-Solving', 'Node.js']",4.0,0
26,Software Engineering Intern,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,Diploma,"['Node.js', 'Digital Marketing', 'Java', 'Writing']",1.0,Bachelor’s,"['Problem-Solving', 'Node.js', 'Adobe Illustrator']",0.0,0
27,Finance Attachment,Graphic design internship for students skilled in Adobe Illustrator and Photoshop. No experience required.,Associate’s,"['Photoshop', 'ML', 'Node.js']",3.0,High School,"['ML', 'Digital Marketing', 'Problem-Solving']",5.0,0
28,Graphic Design Intern,Backend development internship focusing on Node.js and databases. At least 1 year experience required.,Bachelor’s,"['Writing', 'Databases', 'Networking', 'Photoshop', 'Financial Modeling']",1.0,Bachelor’s,"['SQL', 'ML', 'Adobe Illustrator']",1.0,0
29,Marketing Intern,Graphic design internship for students skilled in Adobe Illustrator and Photoshop. No experience required.,High School,"['Java', 'Photoshop', 'Problem-Solving']",3.0,Bachelor’s,"['Databases', 'Digital Marketing']",1.0,0
30,Graphic Design Intern,"Looking for a data science intern skilled in Python, ML, and SQL. Preferred: Bachelor's degree. No experience required.",Master’s,"['Python', 'Excel', 'Photoshop', 'Adobe Illustrator']",0.0,Diploma,"['Networking', 'Digital Marketing']",3.0,0
31,Graphic Design Intern,"Looking for a data science intern skilled in Python, ML, and SQL. Preferred: Bachelor's degree. No experience required.",Master’s,"['Java', 'Digital Marketing', 'SQL', 'Adobe Illustrator']",2.0,Bachelor’s,"['Databases', 'Java', 'SQL', 'React']",0.5,0
32,Backend Developer Intern,Backend development internship focusing on Node.js and databases. At least 1 year experience required.,Diploma,"['Excel', 'Problem-Solving', 'Photoshop']",1.0,Diploma,"['SQL', 'Security Protocols', 'Networking', 'Node.js', 'Problem-Solving']",3.0,1
33,Data Science Intern,"Looking for a data science intern skilled in Python, ML, and SQL. Preferred: Bachelor's degree. No experience required.",Bachelor’s,"['Problem-Solving', 'Java']",0.0,Associate’s,"['Writing', 'Security Protocols', 'Problem-Solving', 'Networking']",5.0,0
34,Data Science Intern,Backend development internship focusing on Node.js and databases. At least 1 year experience required.,High School,"['Financial Modeling', 'React', 'Writing']",0.5,Associate’s,"['Digital Marketing', 'SQL']",2.0,0
35,Data Science Intern,Backend development internship focusing on Node.js and databases. At least 1 year experience required.,Diploma,"['SQL', 'Writing', 'Security Protocols', 'Problem-Solving']",2.0,High School,"['React', 'Writing', 'Python']",1.0,0
36,Data Science Intern,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",Bachelor’s,"['Financial Modeling', 'Excel', 'Digital Marketing', 'Photoshop', 'ML']",0.5,Master’s,"['SQL', 'Writing', 'Node.js', 'Security Protocols', 'ML']",3.0,0
37,Finance Attachment,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,Diploma,"['Networking', 'Java', 'Adobe Illustrator', 'Writing']",0.0,Bachelor’s,"['Node.js', 'ML', 'Adobe Illustrator', 'Financial Modeling', 'Python']",5.0,0
38,Data Science Intern,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,High School,"['Adobe Illustrator', 'React']",1.0,Associate’s,"['Security Protocols', 'Problem-Solving', 'Digital Marketing', 'Node.js']",0.5,0
39,Data Science Intern,"Looking for a data science intern skilled in Python, ML, and SQL. Preferred: Bachelor's degree. No experience required.",Associate’s,"['Financial Modeling', 'Writing', 'Java', 'Node.js', 'Photoshop']",3.0,Diploma,"['Financial Modeling', 'SQL', 'Networking', 'Databases', 'React']",0.5,0
40,Finance Attachment,Backend development internship focusing on Node.js and databases. At least 1 year experience required.,Bachelor’s,"['Problem-Solving', 'Node.js', 'Networking', 'Security Protocols', 'Adobe Illustrator']",0.0,Diploma,"['Excel', 'Writing', 'Digital Marketing', 'Networking', 'Java']",2.0,0
41,Data Science Intern,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",Bachelor’s,"['Security Protocols', 'Financial Modeling', 'Java']",0.0,Bachelor’s,"['Python', 'Financial Modeling']",0.0,1
42,Marketing Intern,Marketing intern needed. Must have strong writing and digital marketing skills. Prior experience preferred.,Associate’s,"['Problem-Solving', 'ML', 'Security Protocols', 'Networking', 'Digital Marketing']",0.5,High School,"['Python', 'ML', 'Excel']",0.5,0
43,Cybersecurity Attachment,Graphic design internship for students skilled in Adobe Illustrator and Photoshop. No experience required.,Diploma,"['Excel', 'Financial Modeling']",1.0,High School,"['Photoshop', 'Financial Modeling', 'Digital Marketing', 'Python']",3.0,0
44,Data Science Intern,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",Diploma,"['Digital Marketing', 'Problem-Solving']",3.0,Master’s,"['Python', 'Financial Modeling']",0.5,0
45,Finance Attachment,"Looking for a data science intern skilled in Python, ML, and SQL. Preferred: Bachelor's degree. No experience required.",Associate’s,"['Adobe Illustrator', 'Node.js', 'Python']",2.0,Associate’s,"['Problem-Solving', 'Security Protocols', 'Financial Modeling']",2.0,0
46,Software Engineering Intern,Cybersecurity attachment for students with basic knowledge of networking and security protocols. 3 months experience preferred.,Associate’s,"['Writing', 'Photoshop', 'Security Protocols', 'SQL']",0.0,Diploma,"['Adobe Illustrator', 'Photoshop', 'Python', 'Excel', 'Writing']",5.0,0
47,Finance Attachment,Backend development internship focusing on Node.js and databases. At least 1 year experience required.,High School,"['Photoshop', 'Writing', 'Python', 'Java']",3.0,Associate’s,"['Adobe Illustrator', 'SQL', 'Python', 'Databases']",4.0,0
48,Data Science Intern,"Looking for a data science intern skilled in Python, ML, and SQL. Preferred: Bachelor's degree. No experience required.",Associate’s,"['Networking', 'Node.js']",0.0,High School,"['ML', 'Node.js', 'Excel', 'Financial Modeling', 'Networking']",5.0,0
49,Cybersecurity Attachment,Marketing intern needed. Must have strong writing and digital marketing skills. Prior experience preferred.,Master’s,"['ML', 'Python', 'Databases', 'Excel', 'Java']",2.0,High School,"['Adobe Illustrator', 'Networking', 'Java']",0.0,0
50,Finance Attachment,Marketing intern needed. Must have strong writing and digital marketing skills. Prior experience preferred.,Diploma,"['Adobe Illustrator', 'Writing', 'Node.js', 'Databases']",1.0,Master’s,"['Writing', 'Excel', 'ML']",3.0,0
51,Marketing Intern,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,High School,"['Problem-Solving', 'ML', 'SQL']",3.0,High School,"['Python', 'Excel']",0.5,0
52,Graphic Design Intern,Backend development internship focusing on Node.js and databases. At least 1 year experience required.,Diploma,"['Networking', 'ML', 'Problem-Solving']",3.0,Master’s,"['Excel', 'React', 'Photoshop', 'Financial Modeling', 'Digital Marketing']",2.0,0
53,Marketing Intern,Graphic design internship for students skilled in Adobe Illustrator and Photoshop. No experience required.,High School,"['Security Protocols', 'Photoshop', 'Problem-Solving', 'Java', 'Python']",2.0,Diploma,"['Databases', 'Excel']",0.5,0
54,Cybersecurity Attachment,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,Diploma,"['Java', 'Writing', 'Digital Marketing', 'Excel']",0.0,Associate’s,"['Problem-Solving', 'Digital Marketing', 'Financial Modeling', 'Excel', 'Security Protocols']",0.5,0
55,Data Science Intern,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",High School,"['React', 'Python', 'ML']",2.0,High School,"['Digital Marketing', 'Photoshop', 'Node.js', 'Databases']",3.0,0
56,Marketing Intern,"Looking for a data science intern skilled in Python, ML, and SQL. Preferred: Bachelor's degree. No experience required.",High School,"['Python', 'Problem-Solving', 'ML', 'Security Protocols']",1.0,Associate’s,"['Problem-Solving', 'Java']",0.0,0
57,Cybersecurity Attachment,"Looking for a data science intern skilled in Python, ML, and SQL. Preferred: Bachelor's degree. No experience required.",Associate’s,"['Adobe Illustrator', 'Financial Modeling', 'Databases', 'Excel']",2.0,Diploma,"['Financial Modeling', 'Node.js', 'Security Protocols', 'Networking']",2.0,0
58,Backend Developer Intern,Backend development internship focusing on Node.js and databases. At least 1 year experience required.,Master’s,"['Node.js', 'Networking', 'Excel']",2.0,Bachelor’s,"['Adobe Illustrator', 'Photoshop', 'Problem-Solving', 'Java']",2.0,0
59,Graphic Design Intern,Backend development internship focusing on Node.js and databases. At least 1 year experience required.,High School,"['Databases', 'Financial Modeling', 'Photoshop', 'Adobe Illustrator', 'Digital Marketing']",0.5,High School,"['ML', 'Excel', 'Writing', 'Digital Marketing']",0.5,1
60,Cybersecurity Attachment,Cybersecurity attachment for students with basic knowledge of networking and security protocols. 3 months experience preferred.,Master’s,"['Databases', 'React', 'Financial Modeling']",1.0,Diploma,"['Writing', 'Java', 'Networking', 'Problem-Solving', 'SQL']",3.0,0
61,Data Science Intern,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",Associate’s,"['Excel', 'Writing']",2.0,Bachelor’s,"['ML', 'Databases', 'Financial Modeling', 'Excel']",0.5,0
62,Finance Attachment,Marketing intern needed. Must have strong writing and digital marketing skills. Prior experience preferred.,Associate’s,"['SQL', 'Networking', 'ML', 'Excel']",1.0,Diploma,"['Writing', 'Adobe Illustrator', 'Photoshop']",4.0,0
63,Backend Developer Intern,Graphic design internship for students skilled in Adobe Illustrator and Photoshop. No experience required.,Bachelor’s,"['Writing', 'Node.js']",2.0,Diploma,"['ML', 'SQL', 'Problem-Solving', 'React', 'Photoshop']",2.0,0
64,Software Engineering Intern,Backend development internship focusing on Node.js and databases. At least 1 year experience required.,Diploma,"['Python', 'Databases', 'Photoshop', 'Writing']",2.0,Bachelor’s,"['Networking', 'React', 'Databases', 'Excel', 'Digital Marketing']",3.0,0
65,Marketing Intern,"Looking for a data science intern skilled in Python, ML, and SQL. Preferred: Bachelor's degree. No experience required.",Master’s,"['Photoshop', 'ML', 'SQL', 'Security Protocols', 'Node.js']",0.0,Associate’s,"['Digital Marketing', 'ML', 'Networking', 'React']",1.0,0
66,Backend Developer Intern,Graphic design internship for students skilled in Adobe Illustrator and Photoshop. No experience required.,Master’s,"['Photoshop', 'Digital Marketing']",2.0,Associate’s,"['Networking', 'Databases']",3.0,0
67,Software Engineering Intern,"Looking for a data science intern skilled in Python, ML, and SQL. Preferred: Bachelor's degree. No experience required.",Master’s,"['Financial Modeling', 'Networking', 'Security Protocols', 'Adobe Illustrator']",3.0,Associate’s,"['Networking', 'ML', 'Python']",5.0,0
68,Data Science Intern,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,Associate’s,"['React', 'Security Protocols', 'Writing', 'Node.js', 'Photoshop']",3.0,High School,"['Networking', 'Node.js', 'Writing']",3.0,0
69,Marketing Intern,Backend development internship focusing on Node.js and databases. At least 1 year experience required.,Master’s,"['Databases', 'Networking', 'Problem-Solving']",0.5,High School,"['React', 'Java', 'Python', 'SQL', 'Node.js']",2.0,0
70,Marketing Intern,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,High School,"['Security Protocols', 'Databases', 'Adobe Illustrator', 'SQL']",2.0,Master’s,"['Security Protocols', 'Node.js', 'SQL', 'Financial Modeling', 'Databases']",4.0,0
71,Software Engineering Intern,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",Diploma,"['React', 'Databases', 'Python', 'Photoshop', 'Excel']",2.0,Associate’s,"['Adobe Illustrator', 'Node.js', 'Networking', 'Problem-Solving']",1.0,0
72,Backend Developer Intern,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",High School,"['Python', 'Photoshop', 'Security Protocols', 'Writing']",0.5,Diploma,"['Excel', 'Java', 'Networking']",4.0,0
73,Software Engineering Intern,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,Diploma,"['Problem-Solving', 'Photoshop', 'Python', 'Digital Marketing']",2.0,Diploma,"['Digital Marketing', 'SQL']",5.0,1
74,Data Science Intern,Marketing intern needed. Must have strong writing and digital marketing skills. Prior experience preferred.,High School,"['Python', 'Java', 'SQL', 'Networking', 'Adobe Illustrator']",1.0,Diploma,"['SQL', 'Problem-Solving', 'Databases', 'Digital Marketing']",4.0,0
75,Cybersecurity Attachment,Cybersecurity attachment for students with basic knowledge of networking and security protocols. 3 months experience preferred.,Master’s,"['Financial Modeling', 'Security Protocols', 'Writing', 'Photoshop', 'Databases']",1.0,Associate’s,"['Networking', 'Writing', 'Security Protocols']",0.5,0
76,Backend Developer Intern,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,Diploma,"['Financial Modeling', 'React']",3.0,Diploma,"['Node.js', 'Python', 'ML']",1.0,0
77,Graphic Design Intern,Graphic design internship for students skilled in Adobe Illustrator and Photoshop. No experience required.,High School,"['Python', 'Photoshop', 'Digital Marketing', 'Adobe Illustrator']",0.0,High School,"['Java', 'Security Protocols', 'Adobe Illustrator']",0.5,1
78,Software Engineering Intern,Graphic design internship for students skilled in Adobe Illustrator and Photoshop. No experience required.,Master’s,"['Writing', 'Python']",2.0,Associate’s,"['Networking', 'React', 'Photoshop', 'Financial Modeling', 'Writing']",5.0,0
79,Data Science Intern,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",Master’s,"['Databases', 'Digital Marketing', 'Photoshop', 'Adobe Illustrator', 'React']",0.0,High School,"['React', 'Node.js', 'Photoshop']",5.0,0
80,Graphic Design Intern,Graphic design internship for students skilled in Adobe Illustrator and Photoshop. No experience required.,Associate’s,"['Java', 'Security Protocols']",0.5,Associate’s,"['Financial Modeling', 'Java']",0.5,1
81,Software Engineering Intern,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,Diploma,"['Networking', 'Databases', 'Digital Marketing', 'Node.js', 'Python']",3.0,Associate’s,"['Financial Modeling', 'ML', 'Digital Marketing', 'Networking']",2.0,0
82,Marketing Intern,Marketing intern needed. Must have strong writing and digital marketing skills. Prior experience preferred.,Bachelor’s,"['Digital Marketing', 'Python', 'Photoshop', 'React']",1.0,High School,"['SQL', 'ML', 'Python', 'Databases']",2.0,0
83,Data Science Intern,Graphic design internship for students skilled in Adobe Illustrator and Photoshop. No experience required.,Diploma,"['Problem-Solving', 'ML', 'React', 'Networking']",2.0,Bachelor’s,"['Digital Marketing', 'Python', 'Problem-Solving', 'Adobe Illustrator']",0.0,0
84,Finance Attachment,Cybersecurity attachment for students with basic knowledge of networking and security protocols. 3 months experience preferred.,Master’s,"['Databases', 'SQL', 'Photoshop', 'ML']",0.0,Master’s,"['Java', 'React', 'SQL', 'Python', 'Security Protocols']",0.0,1
85,Cybersecurity Attachment,Graphic design internship for students skilled in Adobe Illustrator and Photoshop. No experience required.,Bachelor’s,"['React', 'Java', 'Databases', 'Excel']",0.0,Master’s,"['Adobe Illustrator', 'SQL', 'Java']",0.5,0
86,Cybersecurity Attachment,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,Associate’s,"['Node.js', 'Security Protocols', 'SQL', 'Problem-Solving', 'Adobe Illustrator']",1.0,High School,"['Financial Modeling', 'Python', 'Security Protocols']",0.0,0
87,Data Science Intern,"Looking for a data science intern skilled in Python, ML, and SQL. Preferred: Bachelor's degree. No experience required.",High School,"['Photoshop', 'SQL']",0.5,Associate’s,"['Photoshop', 'SQL', 'Python']",5.0,0
88,Software Engineering Intern,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",Master’s,"['Java', 'Node.js', 'Networking', 'Databases']",3.0,Master’s,"['Excel', 'Java', 'React', 'SQL', 'Writing']",0.5,0
89,Cybersecurity Attachment,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",Master’s,"['Financial Modeling', 'Adobe Illustrator', 'Photoshop', 'Excel', 'Writing']",1.0,Diploma,"['Java', 'Security Protocols']",2.0,0
90,Data Science Intern,Graphic design internship for students skilled in Adobe Illustrator and Photoshop. No experience required.,Bachelor’s,"['Photoshop', 'Financial Modeling', 'ML', 'Adobe Illustrator', 'Python']",1.0,High School,"['React', 'Writing', 'Node.js', 'Java', 'Security Protocols']",5.0,0
91,Marketing Intern,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,Master’s,"['Photoshop', 'ML', 'React', 'Digital Marketing']",3.0,Master’s,"['SQL', 'Writing', 'Digital Marketing', 'Adobe Illustrator']",0.0,0
92,Software Engineering Intern,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,Bachelor’s,"['Financial Modeling', 'SQL', 'ML', 'Excel']",0.5,High School,"['Security Protocols', 'Networking', 'Databases']",3.0,0
93,Marketing Intern,Marketing intern needed. Must have strong writing and digital marketing skills. Prior experience preferred.,Master’s,"['Databases', 'Writing', 'Financial Modeling']",2.0,Bachelor’s,"['Security Protocols', 'Financial Modeling', 'Writing', 'Adobe Illustrator', 'Networking']",3.0,0
94,Marketing Intern,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",Master’s,"['ML', 'Adobe Illustrator', 'Networking', 'Digital Marketing', 'Python']",0.0,High School,"['Problem-Solving', 'Node.js', 'Financial Modeling']",5.0,0
95,Data Science Intern,Graphic design internship for students skilled in Adobe Illustrator and Photoshop. No experience required.,High School,"['React', 'Security Protocols', 'Java']",0.0,Bachelor’s,"['Problem-Solving', 'Security Protocols', 'Financial Modeling']",0.5,0
96,Graphic Design Intern,Marketing intern needed. Must have strong writing and digital marketing skills. Prior experience preferred.,Associate’s,"['Java', 'Excel', 'Problem-Solving', 'Databases']",1.0,Bachelor’s,"['Databases', 'Python', 'Writing', 'Problem-Solving']",1.0,0
97,Cybersecurity Attachment,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",High School,"['Problem-Solving', 'Financial Modeling']",1.0,Associate’s,"['Financial Modeling', 'Excel', 'Java']",1.0,0
98,Marketing Intern,"Looking for a data science intern skilled in Python, ML, and SQL. Preferred: Bachelor's degree. No experience required.",Master’s,"['Node.js', 'Python']",1.0,Bachelor’s,"['Java', 'Photoshop', 'SQL']",0.0,0
99,Data Science Intern,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,Associate’s,"['Networking', 'Writing', 'Adobe Illustrator']",1.0,Bachelor’s,"['Digital Marketing', 'Databases', 'React', 'Node.js', 'SQL']",5.0,0
100,Backend Developer Intern,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,Diploma,"['React', 'SQL', 'Problem-Solving']",3.0,Master’s,"['Security Protocols', 'Digital Marketing', 'Node.js', 'ML', 'Financial Modeling']",0.0,0
101,Cybersecurity Attachment,Marketing intern needed. Must have strong writing and digital marketing skills. Prior experience preferred.,High School,"['Networking', 'Photoshop', 'Security Protocols', 'SQL']",0.0,High School,"['ML', 'Node.js', 'Writing', 'Problem-Solving', 'Python']",4.0,0
102,Graphic Design Intern,Cybersecurity attachment for students with basic knowledge of networking and security protocols. 3 months experience preferred.,Associate’s,"['Excel', 'SQL']",0.5,High School,"['Photoshop', 'Excel', 'Node.js']",0.0,0
103,Marketing Intern,Cybersecurity attachment for students with basic knowledge of networking and security protocols. 3 months experience preferred.,Master’s,"['Digital Marketing', 'Security Protocols', 'Financial Modeling', 'Excel', 'Java']",0.5,Bachelor’s,"['Security Protocols', 'Node.js', 'SQL']",1.0,0
104,Cybersecurity Attachment,"Looking for a data science intern skilled in Python, ML, and SQL. Preferred: Bachelor's degree. No experience required.",Master’s,"['Writing', 'Databases']",3.0,Bachelor’s,"['Networking', 'Adobe Illustrator', 'Photoshop']",2.0,0
105,Marketing Intern,Backend development internship focusing on Node.js and databases. At least 1 year experience required.,Associate’s,"['Security Protocols', 'ML']",0.5,Bachelor’s,"['Databases', 'Writing', 'Adobe Illustrator', 'Excel']",0.0,0
106,Graphic Design Intern,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",High School,"['React', 'Digital Marketing', 'Problem-Solving']",1.0,High School,"['Photoshop', 'React', 'SQL', 'Adobe Illustrator']",0.0,0
107,Marketing Intern,Marketing intern needed. Must have strong writing and digital marketing skills. Prior experience preferred.,Bachelor’s,"['Digital Marketing', 'SQL', 'ML']",1.0,Master’s,"['SQL', 'Networking']",0.5,0
108,Backend Developer Intern,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",High School,"['Security Protocols', 'Databases', 'Excel']",1.0,High School,"['Networking', 'Java', 'Python', 'Digital Marketing', 'Security Protocols']",2.0,1
109,Graphic Design Intern,Graphic design internship for students skilled in Adobe Illustrator and Photoshop. No experience required.,Diploma,"['Writing', 'Excel', 'React']",2.0,Master’s,"['Excel', 'Node.js', 'ML', 'React']",3.0,0
110,Backend Developer Intern,Marketing intern needed. Must have strong writing and digital marketing skills. Prior experience preferred.,Associate’s,"['React', 'Node.js']",1.0,Diploma,"['Digital Marketing', 'Java']",3.0,0
111,Finance Attachment,Graphic design internship for students skilled in Adobe Illustrator and Photoshop. No experience required.,Master’s,"['Photoshop', 'React']",2.0,High School,"['Python', 'Databases', 'Security Protocols', 'Photoshop', 'React']",4.0,0
112,Finance Attachment,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,Diploma,"['Databases', 'Problem-Solving', 'Digital Marketing', 'Java']",1.0,High School,"['ML', 'Databases', 'Financial Modeling']",2.0,0
113,Cybersecurity Attachment,Backend development internship focusing on Node.js and databases. At least 1 year experience required.,Master’s,"['Adobe Illustrator', 'Writing', 'Digital Marketing']",1.0,High School,"['Python', 'Databases', 'React', 'Security Protocols', 'Photoshop']",0.0,0
